I, [2014-03-30T16:06:55.309351 #24691]  INFO -- Kitchen: -----> Starting Kitchen (v1.2.1)
E, [2014-03-30T16:06:55.341420 #24691] ERROR -- Kitchen: ------Exception-------
E, [2014-03-30T16:06:55.341551 #24691] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2014-03-30T16:06:55.341615 #24691] ERROR -- Kitchen: Message: Vagrant 1.1.0 or higher is not installed. Please download a package from http://downloads.vagrantup.com/.
E, [2014-03-30T16:06:55.341676 #24691] ERROR -- Kitchen: ---Nested Exception---
E, [2014-03-30T16:06:55.341740 #24691] ERROR -- Kitchen: Class: Errno::ENOENT
E, [2014-03-30T16:06:55.341803 #24691] ERROR -- Kitchen: Message: No such file or directory - vagrant --version
E, [2014-03-30T16:06:55.341865 #24691] ERROR -- Kitchen: ------Backtrace-------
E, [2014-03-30T16:06:55.341933 #24691] ERROR -- Kitchen: /var/lib/gems/1.9.1/gems/kitchen-vagrant-0.14.0/lib/kitchen/driver/vagrant.rb:207:in `rescue in vagrant_version'
E, [2014-03-30T16:06:55.342056 #24691] ERROR -- Kitchen: /var/lib/gems/1.9.1/gems/kitchen-vagrant-0.14.0/lib/kitchen/driver/vagrant.rb:204:in `vagrant_version'
E, [2014-03-30T16:06:55.342118 #24691] ERROR -- Kitchen: /var/lib/gems/1.9.1/gems/kitchen-vagrant-0.14.0/lib/kitchen/driver/vagrant.rb:212:in `check_vagrant_version'
E, [2014-03-30T16:06:55.342180 #24691] ERROR -- Kitchen: /var/lib/gems/1.9.1/gems/kitchen-vagrant-0.14.0/lib/kitchen/driver/vagrant.rb:100:in `verify_dependencies'
E, [2014-03-30T16:06:55.342240 #24691] ERROR -- Kitchen: /var/lib/gems/1.9.1/gems/test-kitchen-1.2.1/lib/kitchen/driver.rb:45:in `for_plugin'
E, [2014-03-30T16:06:55.342301 #24691] ERROR -- Kitchen: /var/lib/gems/1.9.1/gems/test-kitchen-1.2.1/lib/kitchen/config.rb:124:in `new_driver'
E, [2014-03-30T16:06:55.342362 #24691] ERROR -- Kitchen: /var/lib/gems/1.9.1/gems/test-kitchen-1.2.1/lib/kitchen/config.rb:130:in `new_instance'
